date,local,school,light rail,peak,Rapid,other
2021-02-20,3241,0,4348,0,6232,495
2021-02-22,16090,4941,8420,318,16780,418
2021-02-23,16307,5152,8990,340,17544,451
2021-02-25,16339,5096,8891,301,17560,498
2021-04-04,1744,0,2627,0,3891,382
2021-04-03,2445,0,3752,0,5352,650
2021-04-06,11113,0,7741,318,14590,544
2021-04-02,1268,0,2197,0,2850,332
2020-12-16,12534,851,7774,227,13561,448
2020-12-08,13519,3076,8169,257,15053,424
2020-12-14,12176,897,7789,249,13666,433
2020-12-01,13219,4016,7707,270,13883,353
2020-12-03,13587,3654,7943,265,14944,461
2020-12-09,13538,2692,8225,254,14832,424
2020-12-15,12627,968,7957,266,14088,411
2020-12-02,13699,3772,7962,252,14685,414
2019-07-06,5214,0,5369,0,6925,
2020-12-18,11979,528,8085,207,13934,604
2020-12-17,12712,812,8066,249,14190,481
2021-05-13,16541,4846,9251,311,18003,581
2021-06-15,15461,4488,9053,309,16887,401
2021-05-25,16514,4756,9257,328,17408,450
2019-07-03,16613,3638,10208,427,22025,450
2020-01-28,13109,0,9194,380,20317,459
2021-06-18,14760,4148,9319,267,16404,489
2019-08-10,4836,0,4879,0,7219,543
2021-06-21,14547,3645,8556,304,16105,409
2021-06-16,14750,4356,8657,301,16002,366
2019-08-17,5506,0,5860,0,7922,723
2019-07-07,4065,0,3852,0,5426,480
2019-08-24,5439,0,5710,0,8283,686
2021-06-17,15156,4406,9000,320,17070,404
2019-07-02,16895,3993,10254,409,21715,402
2021-06-24,11956,2739,7677,282,13938,307
2021-06-22,15148,3633,9012,324,16614,438
2021-06-23,14714,3591,9077,314,16382,446
2020-02-06,20061,7234,11424,477,25312,441
2019-07-04,16604,3576,10103,437,21868,342
2019-12-25,61,0,0,0,101,0
2021-06-27,2,0,59,0,16,
2021-06-25,12993,2691,8654,224,14454,500
2021-06-26,2670,0,4248,0,5391,486
2021-05-20,16343,4539,9351,310,17375,453
2021-05-29,3113,0,4234,0,6304,524
2021-05-21,16352,4601,9541,247,17849,613
2021-05-19,16548,4696,9158,323,17840,399
2021-05-28,16113,4610,9309,246,16822,590
